tconst	averageRating	numVotes
tt000929	5.3	46
tt015414	5.2	16
tt015724	6.1	26
tt034841	6.3	282
tt038086	7.0	27
tt040844	3.3	189
tt059325	6.4	254
tt059900	6.4	38
tt065188	6.4	37
tt067460	6.8	26
tt068494	4.9	20
tt070501	7.0	230
tt073481	8.0	43
tt077432	5.4	13
tt078006	7.0	33
tt080039	2.7	367
tt081145	5.4	286
tt081721	6.2	326
tt082473	6.7	120
tt082891	5.5	250
tt084015	7.3	44
tt084447	6.2	204
tt084551	5.5	25
tt084638	6.9	420
tt084870	7.1	397
tt088267	5.5	117
tt088283	6.0	38
tt088656	6.9	164
tt088657	7.0	180
tt090144	8.1	233
tt090665	6.7	1895
tt090780	7.7	8
tt090785	5.7	51
tt091490	5.5	41
tt091899	6.2	160
tt092024	7.0	53
tt092507	7.3	411
tt092589	4.4	33
tt092926	3.0	230
tt092984	4.9	76
tt093061	7.7	15
tt093099	6.0	121
tt093210	5.5	18
tt093211	5.1	10
tt093309	6.2	179
tt093508	6.4	9
tt093572	7.3	379
tt093646	7.9	20
tt093989	6.0	17
tt094004	5.2	88
tt094376	5.6	264
tt094390	6.2	22
tt094666	4.3	122
tt094808	6.0	15
tt094841	6.5	296
tt094857	5.9	133
tt094874	4.8	14
tt094900	5.0	238
tt094926	4.8	98
tt094997	4.6	1886
tt095006	4.4	40
tt095095	5.0	83
tt095111	7.8	1017
tt095147	6.7	90
tt095201	5.5	25
tt095229	6.7	21
tt095290	5.7	46
tt095335	4.3	12
tt095394	7.1	177
tt095450	6.9	361
tt095469	6.5	40
tt095571	8.4	41
tt095671	4.8	14
tt095672	5.4	9
tt095673	6.5	13
tt095674	6.1	8
tt095745	2.5	335
tt095761	5.1	24
tt095783	7.8	12
tt095831	4.2	7
tt095840	4.3	83
tt095902	6.7	52
tt096025	5.6	76
tt096038	6.4	21
tt096075	5.1	57
tt096090	5.2	20
tt096107	6.8	605
tt096135	8.0	12
tt096154	4.0	122
tt096174	6.4	94
tt096177	4.5	107
tt096222	5.4	91
tt096254	7.0	27
tt096361	7.0	9
tt096362	6.9	14
tt096363	6.7	8
tt096397	6.0	10
tt096405	5.1	180
tt096469	5.2	29
tt096500	6.3	13
tt096513	6.7	242
tt096749	5.2	30
tt096752	7.9	86
tt096763	5.9	29
tt096767	3.4	64
tt096775	5.1	35
tt096781	7.5	20
tt096786	3.2	1784
tt096797	5.5	92
tt096811	6.3	230
tt096817	5.8	29
tt096825	3.4	53
tt096830	3.9	387
tt096837	4.6	85
tt096845	6.2	61
tt096857	6.0	121
tt096858	6.6	512
tt096859	6.0	351
tt096860	3.2	36
tt096864	6.0	43
tt096871	6.0	2206
tt096875	5.3	4335
tt096877	3.6	148
tt096879	5.8	43
tt096883	4.8	37
tt096910	4.9	20
tt096937	6.7	109
tt096954	4.5	586
tt096984	6.7	32
tt096992	6.8	30
tt096995	3.5	142
tt097004	4.0	1095
tt097049	5.3	530
tt097057	6.6	44
tt097062	7.2	735
tt097066	7.6	32
tt097079	5.8	83
tt097106	7.1	5464
tt097111	6.3	46
tt097115	5.7	901
tt097122	6.6	10
tt097129	5.0	128
tt097140	6.6	115
tt097176	5.1	757
tt097184	4.7	210
tt097204	4.3	31
tt097246	6.8	55
tt097253	7.5	1489
tt097259	3.9	109
tt097298	2.7	187
tt097310	6.7	7
tt097318	3.8	99
tt097324	7.2	14
tt097339	7.0	176
tt097346	5.5	183
tt097348	6.2	372
tt097362	6.2	102
tt097365	3.7	1668
tt097394	6.0	204
tt097399	5.2	8
tt097405	4.6	119
tt097416	7.1	2087
tt097436	6.0	731
tt097475	7.1	28
tt097479	5.8	21
tt097505	4.1	145
tt097506	5.8	71
tt097509	6.7	307
tt097516	5.3	114
tt097519	5.7	11
tt097525	5.6	37
tt097535	6.5	27
tt097542	5.4	13
tt097550	5.5	1426
tt097558	6.5	227
tt097571	7.6	25
tt097573	4.6	1744
tt097578	6.7	66
tt097585	6.7	101
tt097615	6.9	14
tt097619	6.2	298
tt097631	4.2	159
tt097638	6.1	209
tt097644	5.8	75
tt097655	4.2	250
