tconst	parentTconst	seasonNumber	episodeNumber
tt073481	tt0298685	1	4
tt088283	tt0806901	20	8
tt088656	tt0088655	1	2
tt088657	tt0088655	1	3
tt090780	tt0190210	1	3
tt094808	tt0882736	1	1
tt095661	tt3782882	\N	\N
tt095671	tt0095670	1	6
tt095672	tt0095670	1	4
tt095673	tt0095670	1	3
tt095674	tt0095670	1	5
tt095783	tt0297625	2	6
tt096135	tt0297626	6	7
tt096361	tt0158415	1	4
tt096362	tt0158415	1	1
tt096363	tt0158415	1	2
tt096781	tt1615489	2	2
tt096864	tt0096538	2	4
tt097218	tt1685403	\N	\N
tt097246	tt0806901	20	10
tt097324	tt1342141	1	1
tt097346	tt0297626	7	4
tt097451	tt0099283	1	6
tt097783	tt1685403	\N	\N
tt097822	tt0297626	6	2
tt097924	tt0095670	1	7
tt097925	tt0095670	1	2
tt098021	tt0297626	6	1
tt098553	tt1342141	1	3
tt098561	tt0313144	1	4
tt098576	tt0158415	1	3
tt098755	tt0133302	8	8
tt099003	tt0297626	7	12
tt099032	tt1049304	5	1
tt099037	tt0176357	9	4
tt099139	tt0313144	1	10
tt099217	tt0098761	1	1
tt099279	tt0297626	6	4
tt099370	tt0098889	1	4
tt099383	tt0099231	2	2
tt099427	tt1342141	1	2
tt099457	tt0809273	\N	\N
tt099526	tt0046593	34	13
tt099530	tt12606372	1	6
tt099542	tt0098792	1	0
tt099580	tt0098798	1	0
tt099661	tt0985040	7	3
tt099727	tt0159876	\N	\N
tt099744	tt0809273	\N	\N
tt099745	tt0809273	\N	\N
tt099746	tt0809273	\N	\N
tt099781	tt0176357	10	4
tt099811	tt0086734	7	1
tt099835	tt0313144	1	12
tt099851	tt0176357	10	1
tt099952	tt0297626	6	12
tt099971	tt1049304	5	5
tt099992	tt0297626	7	7
tt100155	tt0167566	\N	\N
tt100216	tt0094525	3	1
tt100255	tt1049304	5	3
tt100316	tt0098884	1	1
tt100370	tt1634348	1	1
tt100406	tt0099231	2	3
tt100439	tt0166458	4	9
tt100474	tt0167566	\N	\N
tt100482	tt0167566	\N	\N
tt100492	tt0806910	1	241
tt100578	tt0176357	9	1
tt100580	tt1601983	3	5
tt100642	tt0297626	6	8
tt100658	tt0166458	4	1
tt100664	tt0815353	1	7
tt100710	tt0098889	1	10
tt100718	tt0098916	1	1
tt100724	tt0297625	2	4
tt100748	tt0806910	1	237
tt100749	tt0806910	1	229
tt100750	tt0806910	1	227
tt100751	tt0806910	1	231
tt100752	tt0806910	1	236
tt100753	tt0806910	1	228
tt100754	tt0806901	20	9
tt100755	tt0806910	1	233
tt100770	tt0297626	7	11
tt100818	tt0167566	\N	\N
tt100900	tt0364151	6	10
tt100948	tt0176357	9	2
tt100953	tt1615489	2	4
tt101095	tt13031912	1	1
tt101179	tt0401056	2	1
tt101246	tt0297626	7	5
tt101271	tt0297625	3	9
tt101274	tt0346328	1	1
tt101300	tt0297625	3	7
tt101358	tt1049304	5	2
tt101443	tt0806901	21	3
tt101480	tt0139780	1	5
tt101655	tt3687174	\N	\N
tt101729	tt0094456	6	10
tt101750	tt0298685	2	2
tt101835	tt12606372	1	3
tt101836	tt12606372	1	1
tt101837	tt12606372	1	2
tt101838	tt12606372	1	4
tt101840	tt12606372	1	5
tt101894	tt0297626	8	2
tt101915	tt0159876	19	4
tt101971	tt0176357	10	2
tt101972	tt0297626	8	1
tt102012	tt0297626	7	1
tt102111	tt1615489	2	3
tt102199	tt0199184	16	17
tt102255	tt1634348	1	4
tt102276	tt0297626	8	11
tt102281	tt0297626	8	10
tt102337	tt0159876	20	17
tt102378	tt0167644	1	1
tt102379	tt0167644	1	4
tt102416	tt0098765	2	1
tt102424	tt0166458	5	9
tt102474	tt15175450	1	6
tt102501	tt0106078	2	3
tt102502	tt0106078	2	2
tt102547	tt0889258	2	1
tt102621	tt0101161	1	1
tt102643	tt0101152	1	1
tt102644	tt0159876	20	3
tt102711	tt0297625	3	6
tt102769	tt0889258	2	2
tt102786	tt0135104	\N	\N
tt102787	tt0135104	\N	\N
tt102856	tt1226281	1	2
tt102857	tt0846838	1	11
tt102863	tt0297625	3	3
tt102925	tt0939820	1	1
tt103020	tt0096658	3	13
tt103046	tt0806910	1	252
tt103047	tt0806910	1	251
tt103048	tt0806910	1	239
tt103049	tt0806910	1	250
tt103050	tt0806910	1	234
tt103051	tt0806910	1	247
tt103052	tt0806910	1	246
tt103053	tt0806910	1	249
tt103054	tt0806910	1	240
tt103062	tt0297625	3	2
tt103071	tt0806901	21	9
tt103145	tt0985040	9	2
tt103149	tt0806910	1	243
